id,name
1,Azad Riasat
2,Daily Barraan 
3,Daily Rozan 
4,NewsAlert
5,|Daily Jang
6,Daily Nawa-i-Waqt
7,Daily Manaqib 
8,Daily The Patriot
9,Khabrain 
10,The Daily Pakistan
11,Weekly Ajdad Islamabad 
12,QUDRAT 
13,Daily Express
14,Daily Muballigh
15,Daily Nai Baat
16,Daily Sarhad
17,Daily Jiddat
18,Business Recorder
19,Daily Times
20,Dawn 
21,The Friday Times
22,Lahore Post
23,Daily Naya Zamana
24,The Frontier Post
25,The Nation
26,The News International
27,Pakistan Observer
28,The Post
29,Khalsa Akhbar Lahore
30,The Regional Times of Sindh
31,The Star
32,The Statesman
33,Pakistan Today
34,The Lahore Times
35,Border Times Pakistan
36,Voice of Journalists
37,Daily Pakistan
38,Daily Karachi News
39,Frontline
40,The Express Tribune
41,Daily Dunya
42,Zanjeer
43,Jehan Pakistan
44,Shan e Gujrat 
45,Falak News 
46,Daily Basharat
47,Ummat
48,Manend e Aaina
